

"Host:","nethack-desktop",,,,"User:","root"
"Cmdline:","dstat --net --udp --tcp --noheader --output dstat.csv 1 10",,,,"Date:","23 Apr 2017 09:19:59 EDT"

"net/total",,"udp",,"tcp sockets",,,,
"recv","send","lis","act","lis","act","syn","tim","clo"
0.0,0.0,8.0,0.0,3.0,5.0,1.0,12.0,0.0
0.0,0.0,8.0,0.0,3.0,5.0,1.0,12.0,0.0
104.0,0.0,8.0,0.0,3.0,0.0,0.0,13.0,0.0
0.0,0.0,8.0,0.0,3.0,0.0,0.0,13.0,0.0
28.0,0.0,8.0,0.0,3.0,0.0,0.0,13.0,0.0
132.0,0.0,8.0,0.0,3.0,0.0,0.0,13.0,0.0
28.0,0.0,8.0,0.0,3.0,0.0,0.0,13.0,0.0
0.0,0.0,8.0,0.0,3.0,4.0,0.0,13.0,0.0
104.0,0.0,8.0,0.0,3.0,4.0,0.0,13.0,0.0
0.0,0.0,8.0,0.0,3.0,4.0,0.0,13.0,0.0
28.0,0.0,8.0,0.0,3.0,4.0,0.0,13.0,0.0
